addressWithZip,statusText,detailUrl,price,zpid,beds,baths,area,latitude,longitude,city,yearBuilt,daysOnZillow,hiResImageLink,homeType,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,distance,travel_time
"10634 Chisholm Landing Ter, North Potomac, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/10634-Chisholm-Landing-Ter-North-Potomac-MD-20878/37159773_zpid/,469900,37159773,3,4,1800,39.099154,-77.220277,North Potomac,1986,12,https://photos.zillowstatic.com/p_f/IS2nepvunr1czh0000000000.jpg,TOWNHOUSE,Stone Mill Elementary School,2,9,Primary,/north-potomac-md/schools/stone-mill-elementary-school-27383/,616,Cabin John Middle School,1,9,Middle,/potomac-md/schools/cabin-john-middle-school-27388/,942,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,4.75,692
"17 Chantilly Ct, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/17-Chantilly-Ct-Rockville-MD-20850/37108748_zpid/,454900,37108748,3,4,1210,39.082674,-77.172995,Rockville,1973,6,https://photos.zillowstatic.com/p_f/ISe8vtiqkcga2j0000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,/rockville-md/schools/fallsmead-elementary-school-25153/,564,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,2.344,413
"618 Northcliffe Dr, Rockville, MD 20850",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/618-Northcliffe-Dr-Rockville-MD-20850/37107874_zpid/,None,37107874,3,3.5,1408,39.081967,-77.182118,Rockville,1971,223,https://photos.zillowstatic.com/p_f/IS9lyhs2tyvcc31000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,/rockville-md/schools/fallsmead-elementary-school-25153/,564,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,2.148,377
"415 Beacon Hill Ter, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/415-Beacon-Hill-Ter-Gaithersburg-MD-20878/37247293_zpid/,440000,37247293,3,4,2160,39.129113,-77.237485,Gaithersburg,1990,21,https://photos.zillowstatic.com/p_f/ISif3g8oe995je1000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,6.699,1088
"572 Orchard Ridge Dr UNIT 200, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/572-Orchard-Ridge-Dr-UNIT-200-Gaithersburg-MD-20878/60875125_zpid/,425000,60875125,3,3,2588,39.126106,-77.226206,Gaithersburg,2002,7,https://photos.zillowstatic.com/p_f/ISybv3gj4p8ijv0000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,7.538,816
"22 Keystone Dr, Gaithersburg, MD 20878",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/22-Keystone-Dr-Gaithersburg-MD-20878/37222911_zpid/,None,37222911,5,3,2156,39.13265,-77.242193,Gaithersburg,1974,6,https://www.zillowstatic.com/static/images/nophoto_p_f.png,SINGLE_FAMILY,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,7.311,1093
"572 Orchard Ridge Dr UNIT 200, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/572-Orchard-Ridge-Dr-UNIT-200-Gaithersburg-MD-20878/60875125_zpid/,425000,60875125,3,3,2588,39.126106,-77.226206,Gaithersburg,2002,7,https://photos.zillowstatic.com/p_f/ISybv3gj4p8ijv0000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,7.538,823
"415 Beacon Hill Ter, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/415-Beacon-Hill-Ter-Gaithersburg-MD-20878/37247293_zpid/,440000,37247293,3,4,2160,39.129113,-77.237485,Gaithersburg,1990,21,https://photos.zillowstatic.com/p_f/ISif3g8oe995je1000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,6.699,1065
"912 Orchard Ridge Dr UNIT 200, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/912-Orchard-Ridge-Dr-UNIT-200-Gaithersburg-MD-20878/60875306_zpid/,419000,60875306,3,2.5,2631,39.123489,-77.228056,Gaithersburg,2003,41,https://photos.zillowstatic.com/p_f/ISesqvc68oj3tu0000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,6.384,956
"20 Fenceline Dr, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/20-Fenceline-Dr-Gaithersburg-MD-20878/37219638_zpid/,449900,37219638,4,3.5,1540,39.131247,-77.227788,Gaithersburg,1970,586,https://photos.zillowstatic.com/p_f/ISaxfzyos7atnl1000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,/gaithersburg-md/schools/diamond-elementary-school-25148/,648,Lakelands Park Middle School,24,8,Middle,/gaithersburg-md/schools/lakelands-park-middle-school-27140/,1002,Northwest High School,26,7,High,/germantown-md/schools/northwest-high-school-27125/,2110,7.036,786
